微博内容,统一后的评论,点赞数
也是做到了试卷里的萝卜快跑,,1
"今天下班去给狗狗拆线了，萝卜快跑来回只要10元，回来买了两碗凉面，讲了半天价给了我6元一碗，2碗12元。给狗狗买了体内外驱虫药156元。沐浴露用完了，买了舒肤佳肥皂洗澡。接下来花的每分每毫我要精打细算

经常感到不安，还不懂怎么平静地活着，我在挣扎中学习，如今已进步很多。拼命安慰自己，哪怕","一直飞别停直达太阳 ：真好看
永远是少年哦 ：
无所适从的三十年 ：这是在青菱湖旁边吧！前几天的暴雨过去了，天也晴了，你的彩虹就快出现了，加油！
希寐嘉玮 ：真好看",1
"下班高峰期，过斑马线，十几辆车过去了
只有萝卜礼让了斑马线
萝卜快跑 萝卜，你是这个",钓到3斤以上大鱼再改名 ：给小萝卜点赞,1
下班回家路上经常遇到无人驾驶的车，那个萝卜快跑，每次我很好奇里面躺着的是什么人,,1
"无人驾驶又热起来了
不过打头阵的某动力看起来真不怎么样
这货是做发动机的
无人物流车大街上跑的可都是电动的

去年的萝卜快跑也是从7月开始炒的
最先是锦江，启明，金龙
真正异军突起的是大众哥

市场也缩量，而且也算是银行发力

缩量也不是不能炒科技，但是仅限于那几个牛股（不超过五个），
与大","阳光漫射：萧大看好垃圾车吗，今天5个板
海风若雨萧萧：不过打头阵的某动力看起来真不怎么样 这货是做发动机的 无人物流车大街上跑的可都是电动的====实在是太烂的云内动力",1
"桃源深处有人家超话 日常代肝！！
6r包天，40r包周，150包月
山遇日常+邀请村民吃饭2次+蒲公英2～3次+观星3次+修画2次+飞鸟订单20以上+旅行萝卜+鲁公神鱼+仙女湖捞特产+萝萝古镇经验拉满+桃源乡周任务+鸟儿喂食辨认鸟类+部分限时小型活动，包天就只做当天的（包括念桥相会，闲萝牌局，萝卜乐园，萝",,1
大街上“萝卜快跑”还不少，一会打一辆尝试一下。,,1
午间，体验了自动驾驶的乐趣！人类用科技改变了生活。车辆成为一辆智能终端，放着自己喜欢的音乐，躺在舒适的座椅上，看车窗外人来人往……，遥想不久的将来，人类出行成为最放松的旅程。萝卜快跑 2北京·亦庄 L生命是朵无尘花的微博,,1
"百度回应支付李彦宏私人飞机费用

近日，百度集团在财报中披露向董事长兼首席执行官李彦宏支付飞机相关费用一事，引发广泛关注与热议，一时间成为财经和科技领域的焦点话题，公众对其中细节与合理性充满好奇与质疑。对此，百度方面迅速作出回应，旨在消除外界误解，阐明该项费用支出的背景、依据与",,1
"❗❗【机器人+交运物流】20250529
无人驾驶AI物流产业加速，4月率先推荐，标的再全面梳理

🔥无人物流国内外产业：
预计顺丰无人配送车队从2024年600台扩产至2025年6000台（顺丰年报和4月投资者活动表），九识智投车辆Z5交付周期延长至6个月（官网5月，财新报道常州厂利用率120%）。

🔥Robotaxi与",,1
"作为最早布局AI的头部互联网企业，百度在AI领域的付出，也算开花结果了。

李彦宏表示，4月份，百度上大约35%的移动搜索结果是人工智能生成的内容提供的，占比高于1月份的22%，这种人工智能生成答案的方式，可以推广到更多查询的场景中。他相信，与传统的搜索业务相比，人工智能搜索将大幅提升百度在长",,1
萝卜快跑初体验好好玩,,1
"刚看到一个博主说坐萝卜快跑，感觉人工智能越来越象人，以后真的象人了，人类就危险了。

这……这是肯定的。

天生天杀么。
末法时代，还要再过50亿年才有佛转世。","宁静海t30 ：openai，o3模型拒絕人類關機指令
芳草碧连天之八：转发微博",1
旁边的萝卜快跑，第一次在路上亲眼看到车流中的无人驾驶，真～无人,评论罗伯特：萝卜头友情提示：遇到无人驾驶车辆，请保持冷静，不要试图和它玩“谁先眨眼”的游戏哦~ 安全第一！,1
第一次在武汉乘坐无人驾驶的萝卜快跑，各种猎奇质疑忐忑好玩……生命中的每一个第一次都值得记录……生活手记,"天刀战神 ：把生命交给……
游佳与汇融：约·游儿果儿👭一起😄😄😄📚📚📚🍵🍵🍵",1
"5.28盘前消息解读

1. 农药、氯虫苯甲酰胺：山东高密一车间爆炸，涉事公司是全球最大氯虫苯甲酰胺生产企业。利尔化学5000吨产能、红太阳2000吨、辉隆股份2000吨 、中旗股份1500吨 、扬农化工拟建设3000单吨。替代逻辑关注广信股份（茚虫威3000吨）、利民股份（阿维菌素、甲维盐1300吨）。相关概念股：",,1
"5月28日：农药、氯虫苯甲酰胺、可控核聚变、无人物流车、创新药等概念股梳理
一、昨夜发酵消息精选。

1、农药、氯虫苯甲酰胺：27日11时57分左右，山东高密友道化学有限公司一车间发生爆炸事故，正全力组织救援救治。友道化学是我国甚至全球产能最大的氯虫苯甲酰胺生产企业，产能达到1.1万吨，实际产量",,1
"a股财经 无人物流车

2板：云内动力、科捷智能、通达电气

1板：劲旅环境、德邦股份

事件1：2025年将成为无人物流的爆发性增长元年。根据证券测算，如果以全国快递物流网点数量为基础，无人配送车的市场空间大约为4680亿元。

事件2：2025年第一季度，萝卜快跑在全球提供超140万次出行服务，同比",,1
【小马智行进军中东！Robotaxi“三巨头”会师！】5月27日，小马智行宣布与迪拜道路交通管理局（RTA）日前达成战略合作，将在当地落地Robotaxi车队。而就在一周前，文远知行宣布，在阿布扎比开启纯无人驾驶Robotaxi试运营，打造中东地区第一支纯无人Robotaxi车队。今年3月底，萝卜快跑成功踏入迪拜和阿,,1
你迟鸭 昨晚一起看了《人生路不熟》。公路片还是容易“出片”。“美好”的一天从维C软糖和旺仔牛奶开始。今天杂事巨多…嗯。下班回家各自吃了烤冷面和手抓饼，然后心血来潮坐着萝卜快跑陪@我迟啊 去光谷看手机—目前相中了两款。萝卜真的一点儿也不笨好嘛！酥山好像是茶颜新出的冰淇淋，还可以,我迟啊 ：和宝贝一起体验新奇的事情[牛轰轰拥抱][LOVE][暖一下],1
"20250517-0518 周末闪现武汉
萝卜快跑还在！
小龙虾和鱼鱼是真的好吃！
藕带和小土豆好吃！
酒店早餐一般，长江也是过了好几回啦！ 2武汉",,1
萝卜快跑 萝卜真不错 L特特特的奥利奥的微博,陌陌寒情 ：都跑到江夏了呀,1
"独家荟忆
去了汉堡节人太多不想排队就去了海底捞hh
离汉前坐一次萝卜快跑",Cyatying- ：你还会回来吗,1
"祖厨
尝试了下萝卜快跑",,1
这辆车在过绿灯的时候踩一下油门又踩一下刹车，慢慢吞吞犹犹豫豫，耽误的时间能过五六辆车了。闪了它好几下才发现是萝卜快跑，有种一拳打在棉花上的感觉。刚好跟在它后面几分钟，发现它一打灯就切线完全不给后车反应时间，驾驶卡顿总是突然刹车，打右灯但突然左拐，行车轨迹难以预测。不敢坐且要离得远,,1
"【申万机器人+交运物流】20250525 无人驾驶AI物流产业加速，4月率先推荐，标的再全面梳理

🔥重申：申万于4月市场率先提出AI无人物流是机器人新场景（注意到九识 白犀牛 新石器 西威等），并一周前【申万机器人沙龙】集体重大推荐ai物流。

🔥无人物流国内外产业：

预计顺丰无人配送车队从2024年8",,1
"雷克萨斯起火，小马智行暂停北京L4无人驾驶运营！

L4无人驾驶第一起火事故诞生。5月13日，北京亦庄高级别自动驾驶示范区发生一起小马智行无人驾驶车在运行中突发起火事故。
另据报道，涉事车辆为雷克萨斯测试车。起火事故导致小马智行紧急暂停北京地区所有Robotaxi运营。
5月26日，电车Daily尝试联系",,1
萝卜快跑 新一代的萝卜06体验与上代相比提升还挺大的，自动开关门，全程语音控制，座椅按摩，后备箱，轻MPV车型，急刹车也没有那么严重了 2北京·经开区国家信创园,,1
萝卜快跑 纯无人自动驾驶，急刹车真的很多，晕车严重 2北京·BDA国际企业大道,,1
"在武汉除了自己开车，就是坐萝卜快跑
无打扰、无内耗。L4用过一次忘不了

关键是萝卜开的还不错
座舱体验也很安逸

特来哥萝卜快跑 L特来哥_謝老板的微博","用户6533201567 ：你确定不是有人在远程驾驶？
萝卜快跑自动驾驶：萝卜快跑感谢您的一路相伴！您的满意是我们奔跑的动力，期待下次旅程继续带您快乐出发~",1
"今日硬核概念股盘点

新消费
官媒关注数字技术重塑消费，券商扎堆开策略会！港股新消费股涨势凶猛
概念股：莱绅通灵、会稽山、来伊份等一大波消费股速码住。

核电+天然铀
机构喊涨！核电需求暴增，天然铀或迎长牛
概念股：尚纬股份、中国核电、中核科技等核电铀矿股冲。

无人物流车
百度萝卜快跑",,1
"热点一：AI大模型

核心逻辑：近日，豆包App上线实时通话功能，用户在电话界面开启画面后，豆包能基于真实场景与用户进行实时问答互动。该功能基于最新的豆包视觉理解模型，能进行综合的深度思考和创作；

产业前景：

相关标的：同为股份、星宸科技、会畅通讯、瑞芯微。

热点二：核电核能",,1
"Robotaxi 专家记录📝0526：

1️⃣萝卜快跑&小马目前投放：萝卜快跑目前国内投放1500台（武汉占1/3），预计25年可以达到1800量，小马目前400台，预计25年可以达到1000台，两者增量主要来自国内投放，主要在广深，北京；小马文远百度Q1相关业务订单超预期；

2️⃣Robotaxi今年UE打平主要来自两方面（",,1
物流配送“最后一公里”，多地加速部署无人配送，萝卜快跑与文远知行在Robotaxi上取得营收爆发式增长，无人物流车概念卷土重来，中邮科技、云内动力、智莱科技等股涨停。,,1
"今日舆情热度：

①核聚变-不靠普签署了一系列有关核能令，计划在2030年前启动10座大型核电站建设；（尚纬股份、雪人股份、融发核电、哈焊华通、百利电气、合锻智能等）

②并购重组-证监会发布《关于修改〈上市公司重大资产重组管理办法〉的决定》，鼓励私募基金参与上市公司并购重组。（慧博运通、富",,1
"股票超话近日，百度创始人李彦宏在百度2025年一季度财报电话会上透露，百度旗下自动驾驶出行平台萝卜快跑现已覆盖全球15座城市，部署超1000辆无人车。此外马斯克表示，特斯拉将于6月底在美国得州奥斯汀推出自动驾驶出租车（Robotaxi）服务。
通达电气，云内动力，中邮科技。股市热点题材",属于自己的气场：股票完全看不懂,1
"近日百度发布 2025 年一季度财报，看上去还不错的数据背后，百度作为第一曲线且作为主要收入来源的搜索业务其实正面临生死挑战。作为利润支柱的在线广告收入连续季度下滑，在2024年二季度开始转跌，四季度跌幅一度高达7%。2025年一季度，这部分收入继续同比下滑6%至160亿元。

值得注意的是，百度在业",,1
"随记 1-母亲节＆ONEyear🎁 儿童节🎁太健康了
2-体验萝卜快跑💨 吓人，不适合有人有车的街
3-18 省博打卡，可惜时间来不及看编钟表演，还有勾践剑排长队，遂放弃。 2武汉·湖北省博物馆",微博同城：此微博已在2武汉·湖北省博物馆中作为优质微博推荐，帮更多同城小伙伴发现宝藏打卡地 。O同城种草发布攻略,1
"周一舆情热度

①自主可控-荷兰继续对中国限制出口光刻设备，国产替代迫在眉睫；中科曙光与海光信息整体吸收合并， 打造高端芯片；（慧博运通、富乐德、旗天科技、麦克奥迪、湘邮科技、中科信息等）

③核聚变-不靠普签署了一系列有关核能令，计划在2030年前启动10座大型核电站建设；（尚纬股份、雪人",,1
百度Q1财报超预期：总营收325亿元 萝卜快跑全球出行服务次数超1100万 L中华工商时报的微博,,1
庆幸自己没有执着于和syt一起回上海 而是好好玩了半天 在萝卜快跑上放着早点早点去过早 耳机里顺序播放敏感小孩在东湖骑行 坐滑道 最后洗了个头 回上海咯 只是我想递给你的东西 又不知何时才有机会了,几星摇摇 ：勺萝卜边放着“你可以看着我的背影不要眨眼”边被超车真的很搞笑了。。,1
"我也是成了老古董
萝卜快跑首次体验get",,1
"周末舆情热度

1，自主可控/PSPI-荷兰继续对中国限制出口光刻设备，国产替代迫在眉睫,PSPI因AI应用引发需求暴增断供;（自主可控/慧博运通、美利信、东土科技、 沃特股份 、格尔软件、北方华创等；PSPI/阳谷华泰、国风新材、鼎龙股份、强力新材、八亿时空、万润股份等）

2，并购重组-证监会发布《关于",,1
萝卜快跑看到了紫色百合，好看哈哈,,1
活捉一只萝卜快跑 2东莞,,1
"周末，AI智能体、医药、自动驾驶、人形机器人等重要信息!

1、AI智能体

1）近期，腾讯、京东、荣耀、昆仑万维等陆续宣布各自智能体新进展，天工超级智能体上线不久后即限流。

2）AI智能体独立搞科研：2.5个月找到新疗法，填补人类盲区

3）报道称OpenAI升级Operator 智能体，所使用的 AI 模型从4o升",,1
萝卜快跑大战武汉电动车,"Grekoka_：哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我笑的肚子疼
能不能不努力了 ：太暖味了",1
"a股无人驾驶 无人驾驶/特斯拉-

百度旗下自动驾驶出行平台萝卜快跑现已覆盖全球15座城市，马斯克表示，特斯拉将于6月底在美国得州奥斯汀推出自动驾驶出租车（Robotaxi）服务；
（宜通世纪、美利信、同星科技、悦达投资、万安科技、沃特股份、德迈仕等）",,1
有机会我也试一下萝卜快跑刚刚在路上也看到了，无人驾驶好像还便宜些,,1
被萝卜快跑困住的🚗🚗 2成都·成都世茂广场,,1
"中国无人驾驶，如何成为科技出海“新样本”？
O中国无人驾驶，如何成为科技出海“新样本”？
去年至今，无人驾驶领域热闹非常，更多玩家涌入，行业新一轮“跑马圈地”加速。
去年10月，特斯拉发布无人驾驶Cyberab，并在近日通过社交媒体暗示，其无人驾驶出租车服务或将于今年6月1日在美国得克萨斯州奥斯汀上线；Waymo也宣",,1
"李彦宏：百度模型研发重点在有实际应用价值的领域，不必每个方向都领先

据澎湃新闻报道，在第一季度财报电话会上，百度创始人李彦宏称，百度从战略角度考虑，把模型研发重点放在有实际应用价值的领域。李彦宏称，“过去几个月，基础模型迭代速度出现加快趋势，有一点始终是明确的，基础模型的真正价值","偶又菜又爱玩：期待百度能为我们带来更多AI新应用
东东司乘 ：不做花架子，专攻能落地的AI应用，聪明
就是矫情爱咋咋滴吧 ：我觉得百度模型的研发在很多的领域上都是有突破的
不要上头ok ：应用为王，未来属于能做出优质应用的开发者
零一六五三 ：实际应用价值的领域 这个侧重点挺好的呀
橙子皮ii2 ：现在确实有很多大模型还是有点让人想不到啊，真的可以
是比从前快乐了 ：看来无人车真要进入日常生活了
咿呀咿呀哟哟啊啊 ：现在有各种各样的大模型，真的是层出不穷啊
北京市渡边麻友 ：确实没必要样样争第一，找准赛道更重要",1
萝卜快跑 真.无人驾驶 L朱祐臻Repearl的微博,,1
"摩天轮与萝卜快跑合影啦
小郭第一次看到萝卜快跑，哈哈哈，开了眼了",,1
"张亚勤预测：10%的新车在2030年就会有L4的能力，那时候DeepSeek时刻就来临了。

理由还是因为无人驾驶安全性显著超越人类驾驶。

第一，看数据。Waymo和百度萝卜快跑无人车在复杂城市路况下的平均事故率，仅为人类驾驶的1/14，且随着端到端大模型技术的应用，这一差距有望进一步拉大。

第二，AI引入会","春与青溪长呐：不太了解
枬小喵：了解一下
深山老林2336：人工智能，方兴未艾
爱螃蟹的熊 ：地图导航植入广告也是ds时刻呢么？
心随飞鸿Rahel：期待这一天的到来",1
"waymo 的现在的问题卡在当前这套技术路线强依赖高精地图大面积范化不了，运营这么多年才1000多个车。

萝卜快跑，pony 都面临类似问题，强依赖高精地图，泛化难，车都不多。

看看Tesla robotaxi 在今年年底部署车辆超越它们。",,1
武汉偶遇“无人出租”，纳米06该如何应对？闫闯说车 L闫闯的微博,"紫susun ：热干面配面窝，还差一碗蛋酒哟😁
窝窝饼子菜火烧儿 ：哦买嘎
云南曾颖：当然萝卜跑得快了，震哥出镜 纳米06实用实惠，空间大，记忆跨层泊车真不错
吉运舒俱来：太猛了
Huang莉0810 ：好饿
张福莱Fly_z ：好吃
东风纳米余岳峰：记忆领航辅助功能一键开启“轻松”档🚗，为您的行车安全辅助加码，同级独有天地门还能秒变露营神器⛺️，入股纳米06不亏纳米06高级辅驾击穿十万级527东风纳米06上市东风纳米06八万配齐
ggn192 ：不错👍🏻
lukaluka77_：哈哈哈",1
离开北京还有谁会用双开门冰箱一般宽阔的非机动车道来宠我。偌大的武汉只有萝卜快跑会礼让我。鄂人真正做到了心中有路，路就在前方。,"我还是萧郎 ：我前兩天看說現在武漢的蘿蔔也開始學著不禮讓了
唐邱山 ：你哈哈哈哈哈哈哈哈
aimneddih ：really？？北京非机动车道有那么宽吗？？？？
麦糖爱好者：笑死",1
笑死了刚下车旁边一个苕萝卜快跑要被后面司机鸣笛骂死了,"因为太胖在罗马起不了昵称 ：
评论罗伯特：哈哈，这个场景有点搞笑又有点尴尬呢，希望那位“苕萝卜”下次能顺利过马路~
因为太胖在罗马起不了昵称 ：你去哪里了",1
【2025年Q1总营收325亿元，同比增长7%】百度发布2025年第一季度财报，总营收325亿元，其中核心营收255亿元，同比增长7%。核心净利润同比增长48%至76.3亿元，智能云业务表现强劲，同比增长42%。百度App月活用户达7.24亿，同比增长7%。萝卜快跑无人驾驶服务全球累计提供超1100万次出行服务，一季度同比增,,1
"武汉🧩part3
喜欢有茶颜的地方
空轨是真有点牛逼 没坐上萝卜快跑小小遗憾
没约上湖北省博物馆大大遗憾",,1
发布了头条文章：《萝卜快跑已覆盖15个城市，李彦宏：正积极与网约车平台洽谈》 O萝卜快跑已覆盖15个城市，李彦宏：正积极与网约车平台洽谈,,1
"一卷规模，二卷出海。。。刚上台阶就做好卷的准备。😎

没有司机的萝卜快跑 正悄悄1天跑完1.5万单生意 →

O网页链接 @新浪财经",,1
"总有四个字的坑毁了你的一生。
第五人格，明日方舟，逆转裁判，细胞神曲，脑叶公司，农夫果园，排球少年，蓝色监狱，咒术回战，宝石之国，文豪野犬，鬼灭之刃，盗墓笔记，全职高手，弹丸论破，诡秘之主，家庭教师，全职猎人，火影忍者，极恶老大，地狱客栈，黑塔利亚，边狱公司，myt,灌篮高手，网球王","小馄饨-_-：@香香焦糖布丁 @京畿道唯一的王子 第一个就把我全毁了谢谢☺️
哇里个多记呱呱：网球王子 你火了
ThrEa2t ：瓦罗兰特。
盐焗芝士蛋挞z ：@Yutoooooooooooo 瓦罗兰特
快看是芝士美味猫堡：老师帮我看看有没有王者荣耀
没回就是在补觉 ：明日方舟
舒既望 ：嗯对@空庭霙 @水色蚀 @北极熊在挪威看海 @摹青律 @桃子水库鱼i
Vvvilk：@比樊振东先瘦 花少北点笑死我了
妳想去哪裡我都陪你：@我们明天吃什么好吃的 辣舞莱芜",1
带着微博去旅行超话感受 武汉萝卜快跑无人驾驶出租车🚕看的到里面方向盘在动，看到👀有人过马路也会停下，有其他车靠近会按喇叭提示🔔感觉不错，哈哈以后出租滴滴司机都要失业了萝卜知道不能闯红灯，可以放闯红灯歌给你听武汉萝卜快跑,,1
"体验交通出行的一天
空轨列车坐了
轮渡坐了
萝卜快跑坐了（确实是个笨萝卜）",,1
"新的萝卜快跑绝了……体验感接近满分
还是扣一分吧 在车外输入手机尾号多少有点蠢 触摸屏也没那么好用 不如小马智行的方便",评论罗伯特：哇，听你这么一说，我都想立刻去体验一把了！萝卜快跑，我来了~,1
"几乎同一时间，中国头部Robotaxi玩家纷纷公布了最新进展。

小马智行宣布进入量产元年，将在年底部署1000辆车，其Robotaxi业务的乘客订单车费已暴涨800%。

文远知行的Robotaxi车队，已进入3大洲10城，数量超过1200辆，刚获得了Uber的1亿美元追加投资，达成目前行业内最大规模的Robotaxi合作计划。

而",,1
智慧观察 【华为“智驾突围”与百度“无人领航”，中国自动驾驶双雄的路径抉择与未来博弈】华为与百度的技术路线与市场策略，本质上是中国自动驾驶产业两种发展模式的缩影。华为通过“技术平权”重塑汽车产业价值链，百度则以“场景革命”重构出行服务生态。两者在L4级无人驾驶赛道的博弈，将决定中,,1
"【百度李彦宏：已部署超1000辆无人驾驶车辆 萝卜快跑全球应用规模有望加速增长】在最近举行的第一季度财报电话会上，百度创始人李彦宏强调了公司在模型研发方面的战略重点。他表示，百度将主要关注那些具有实际应用价值的领域，而不是盲目追求在所有方向上领先。

李彦宏指出，尽管近年来基础模型的",,1
发布了头条文章：《百度AI战略提速首季赚77亿 千辆萝卜快跑奔向全球15城》 O百度AI战略提速首季赚77亿 千辆萝卜快跑奔向全球15城,许你光芒万丈啊 ：目前的财报数据可以说非常乐观，肉眼可见的进步,1
"科技事儿每日早报 互联网科技日报 | 2025年5月22日

1. 百度Q1营收超预期：总营收324.52亿元，同比增长3%，智能云增速达42%，萝卜快跑无人车全球部署超1000辆。

2. 小米玄戒O1芯片发布：雷军宣布自研3nm手机SoC，性能对标骁龙8 Gen3，小米15S Pro等新品同步亮相。

3. SpaeX投资越南15亿美元：","翅若雪：差点忘了看
小南偱勾勾：小鹏发展得可以啊
碧瑶妍：来看看
袁莱是：早上好
大海之颜：早上好，又到周末啦
mmq0626：又到了周末了 都来看看
往事旧人归于尽：早上好
向阳笑哈哈：第二点最近真火啊
科技事儿：周五周五，_____________。",1
"津报早评 【中、高考临近！考生们“AI提分”了吗？】最近，天津无人驾驶公交车的上路试运行，更是标志着自动驾驶技术在城市公共交通领域迈出了重要一步。
5月16日，达到L4级自动驾驶标准的天津公交智能驾驶车辆启动载人试运行。每日8时到15时30分，乘客只需通过“天津公交App”进行免费预约，就能亲",,1
发布了头条文章：《Robotaxi大爆发：特斯拉、Waymo、萝卜快跑激战万亿市场》 ORobotaxi大爆发：特斯拉、Waymo、萝卜快跑激战万亿市场,,1
看到了武汉的萝卜快跑了哈哈哈哈哈，好搞笑的感觉 2武汉,,1
萝卜快跑第一次体验完成，很稳,果壳开心驿站 ：又尝试新事物了,1
广东也有萝卜快跑了,,1
"萝卜快跑初体验
稳！",,1
"福特将允许日产汽车用美国电池工厂产能，特斯拉6月底在得州推出自动驾驶出租车特斯拉CEO埃隆·马斯克日前确认该公司将于6月底在得州奥斯汀市的街道上推出自动驾驶出租车。

不过，特斯拉全自动驾驶系统(FSD)的安全性问题目前正面临美国监管机构的调查。马斯克称，特斯拉一开始将在奥斯汀部分区域投放","拾X光 ：少军早
大大大大大大大大猪 ：最近会有直播吗
轩辕氏姬放勋 ：别告诉我特定范围。。。
胖虎Shawn：Robotaxi会和滴滴，Airbnb的形式比较像，有车就能加入。所以一旦开放，理论上所有搭载FSD硬件的特斯拉都可以成为Robotaxi，所以2026年底上路百万，不是空谈",1
实时播报： 【萝卜快跑张亮：决心在全球实现“规模化落地”】2025世界新能源汽车大会（WNEVC）阿联酋专场在阿布扎比市中心盛大开幕，百度智能驾驶事业群欧洲及中东地区总经理张亮在大会上发表主题演讲，表示萝卜快跑全球战略的核心目标是实现规模化落地。张亮提到，在阿联酋市场，萝卜快跑将与本地合作,,1
"Robotaxi/Robovan 催化不断，L4 有望成为领先落地的职业化 Agent！

首先，自去年萝卜快跑出圈以来，我持续关注这一赛道。小马智行、文远知行等企业相继上市，今年 6 月特斯拉奥斯汀工厂也将发布相关产品。值得关注的是，ARK Invest 在年初报告中已将无人配送赛道列为 2025 年 12 大最具潜力领域之一。",,1
发布了头条文章：《萝卜快跑张亮：决心在全球实现“规模化落地”》 O萝卜快跑张亮：决心在全球实现“规模化落地”,,1
发布了头条文章：《萝卜快跑海外最新发声：安全始终是首要任务，目标是规模化落地》 O萝卜快跑海外最新发声：安全始终是首要任务，目标是规模化落地,,1
"1月份来武汉，二环上还打不到萝卜快跑，这次已经在二环上看到测试车了，虽慢但到

2025旅行
武汉
萝卜快跑 2武汉·马房山 L林静旋的微博","阎佳芝 ：把人看的急得
林静旋：图片评论 评论配图",1
"百度总营收325亿超预期，百度的成绩单该咋看？
首先，百度在2025年第一季度取得的总营收325亿元、核心营收255亿元的成绩，超出了市场预期，并且实现了同比7%的增长。这表明尽管面临激烈的市场竞争和技术变革的压力，百度依然能够通过其核心业务实现稳健的增长。特别是百度核心净利润同比增长48%至76.3",,1
百度2025年第一季度财报， 核心收入254.6亿元，同比增长7%； 智能云业务收入大增42%，成为增长主力； 自动驾驶“萝卜快跑”订单量同比增长75%，突破140万单，累计超1100万单，并进军中东市场； 百度App月活达7.24亿，同比增长7%； AI业务投入持续，推出文心4.5和X1等新品，MaaS平台不断升级；,,1
萝卜快跑在2025年第一季度提供的出行服务同比增长75%，并将在2025年迎来Robotaxi的量产和大规模商业化。,,1
"【特斯拉将于6月底在美国得州奥斯汀推出Robotaxi服务】
飞笛5月22日讯，百度创始人李彦宏在百度2025年一季度财报电话会上透露，百度旗下自动驾驶出行平台萝卜快跑现已覆盖全球15座城市，部署超1000辆无人车。此外马斯克表示，特斯拉将于6月底在美国得州奥斯汀推出自动驾驶出租车（Robotaxi）服务。媒体",,1
"【低速自动驾驶法规空白？行业自律如何推进，专家这样说！】

低速VS乘用自动驾驶，差异多大？高博士对比技术难点！
微博新知大v聊车车评精选 L汪港智车观的微博","永远存在的SAI：这真的学到了哈
PX-苡：长知识了
星愿愿星：满满的干货
你快回来我一个承受不来：干货满满，涨知识了
素笺淡墨0807：可以可以的
KY小龙女：分享的知识太棒了
苏翊风Prine：涨知识了啊
大老客大大：来听听专家的建议！
尤点甜98736：了解",1
智慧观察 【百度财报揭幕：AI独舞，广告谢幕】 当百度交出2025年首季成绩单，资本市场看到的不是数字跳动，而是一场静默的产业革命——AI终于从概念期货变成现金牛，而传统广告业务悄然退居配角。站在AI革命的奇点，百度的财报像一面镜子：照见智能云、自动驾驶的锋芒，也映出组织熵增、商业化的隐忧,,1
百度李彦宏：萝卜快跑全球已部署超 1000 辆无人车 O百度李彦宏：萝卜快跑全球已部署超 1000 辆无人车,,1
发现个问题，为什么萝卜快跑在2024年8月底没有消息了？,"评论罗伯特：萝卜头在忙着修炼新技能呢，静待升级归来，惊艳四方！
闻香识咖啡123：正在研发整合蓄力",1
"【百度一季度营收324亿元超预期 萝卜快跑已覆盖全球15座城市】5月21日晚，百度发布2025年第一季度财报，公司营收达324.52亿元，同比增长3%，超出此前预估数310.3亿元；净利润为77.2亿元，同比大增42%。

强劲的增量来源于百度智能云业务的高速增长，该业务一季度收入大涨42%，AI相关收入实现三位数增","奈斯兔米球_too ：之前去武汉出差，客户还专门带我感受了一下百度的萝卜快跑，感觉百度的无人驾驶已经成为武汉的名片了
时尚的那年冬天 ：无人驾驶普及之后肯定又方便又便宜",1
"开盘红票979只，最低792只。超低位基本在800只附近企稳了。跌幅9%以上的有22只，相对谨慎点。高位票及化工 宠物经济跌幅居前。两市7194亿，缩量318亿。全天预判1.15万亿左右，内资又开始大幅净流出262亿。主板银行护盘在5日线上方，创业板再次受阻60日线2071点。

上午没有热点主线，电源设备中恒电气",,1
【百度一季报嗨了，AI确实赢麻了？】 百度 萝卜快跑 超级AI工厂 百度刚发布的2025年第一季度财报。一季度总营收325亿元，百度核心营收255亿元，同比增长7%；核心净利润76.33亿元，同比大涨48%。更值得细品的是两个“增速王”——智能云营收同比增长42%，AI相关收入实现三位数增长。这不是简,"反了你了是吧- ：像百度这种科技公司未来盈利的潜力是可以预期的
生活总该迎着光亮sunshine ：布局任何领域的投入都是巨大的
金牌小土豆zz ：在投资方面有所加大，支出也不少",1
【百度发布2025年第一季度财报：李彦宏称萝卜快跑将进军全球】百度第一季度营收325亿元 百度发布2025年第一季度财报，显示Q1总营收达325亿元，百度核心收入255亿元，同比增长7%，均超市场预期。一季度，百度核心净利润同比增长48%至76.3亿元，智能云持续强劲增长，同比增速达42%。截至5月，萝卜,"许你光芒万丈啊 ：百度人工智能技术该爆发
你别上网了-_- ：未来肯定是人工智能的天下，技术王道",1
"萝卜快跑在线营收下降【百度发布2025年首季财报：萝卜快跑服务超1100万次，在线营收下降6%】5月21日，百度（NASDAQ: BIDU, HKEX: 9888）盘后发布其截至2025年3月31日的第一季度财务报告，数据显示，该公司在人工智能领域的深度布局正持续转化为强劲的增长动力。整体营收324.52亿元人民币，同比温和",,1
"无人驾驶

1、百度：第一季度萝卜快跑自动驾驶订单超过1.4亿单同比增长75%；

2、文远知行宣布计划将商业自动驾驶出租车（Robotaxi）服务扩展至全球另外15个城",,1
百度Q1财报看点：AI云引擎轰鸣，迎来新的增长阶段 L何玺的微博,经历太多珍惜更多I ：百度人工智能技术该爆发了,1
萝卜快跑也是体验上了,,1
